
MINUTE: Average=320.09073111224194, Max=320.22616721084796, Min=319.9513925894155
MINUTE: Average=320.2787558091758, Max=320.36886088189027, Min=320.1426940710619
MINUTE: Average=320.650222822215, Max=321.10300800109326, Min=320.3474243382378
MINUTE: Average=321.0985081771656, Max=321.21098599482775, Min=321.02289011935716
MINUTE: Average=321.078409639476, Max=321.1581088561877, Min=321.00124439101353
MINUTE: Average=321.17706768296887, Max=321.290508078546, Min=321.01848715518264
MINUTE: Average=321.30763893986943, Max=321.3910893802601, Min=321.1736081129434
MINUTE: Average=321.5403378358133, Max=321.6895863039308, Min=321.3661501799878
MINUTE: Average=321.67908875861616, Max=321.8388522271633, Min=321.5514016222488
MINUTE: Average=321.7790493176702, Max=321.87051782156027, Min=321.69935562477366
MINUTE: Average=321.8998080010723, Max=322.01844450635696, Min=321.7903904617516
MINUTE: Average=321.97175546862763, Max=322.1265910478769, Min=321.79062519359144
MINUTE: Average=321.84000035602645, Max=321.95150529252334, Min=321.66368025006744
MINUTE: Average=322.14521014760186, Max=322.2840433763885, Min=321.9902443471978
MINUTE: Average=322.19430515559617, Max=322.3036483397049, Min=322.0735301252694
MINUTE: Average=322.2240032504823, Max=322.37927362350433, Min=322.0429176232635
MINUTE: Average=321.9933476886985, Max=322.22083470406415, Min=321.82483397188156
MINUTE: Average=321.89797832632615, Max=321.9954120416682, Min=321.7784299051956
MINUTE: Average=321.79628518037697, Max=321.94400425099036, Min=321.69683098746106
MINUTE: Average=321.8151658106961, Max=321.94219473564186, Min=321.6932725151507
MINUTE: Average=321.9208623474842, Max=322.0855062279482, Min=321.7698610964443
MINUTE: Average=322.00749305071, Max=322.11013117375677, Min=321.90162927533856
MINUTE: Average=322.09557614850445, Max=322.4070233912419, Min=321.9429553126194
MINUTE: Average=322.3746492205104, Max=322.5251407324202, Min=322.22571074638785
MINUTE: Average=322.1288466477976, Max=322.26621117435553, Min=322.0006898218893
MINUTE: Average=322.106068922265, Max=322.1976446395398, Min=321.9488815532692
MINUTE: Average=321.72446030769567, Max=322.0094114220521, Min=321.4689226193052
MINUTE: Average=321.33787967486245, Max=321.5444803880392, Min=321.145687738463
MINUTE: Average=321.09563178004936, Max=321.25135629863394, Min=320.9103288331114
MINUTE: Average=321.3330962665283, Max=321.5139268100368, Min=321.1444835942332
MINUTE: Average=321.67901598248875, Max=321.8712620649684, Min=321.41833854244766
MINUTE: Average=321.80348270770577, Max=321.9614477892261, Min=321.60369520406925
MINUTE: Average=321.708195751303, Max=321.87138057607086, Min=321.51638242437275
MINUTE: Average=321.9771578636467, Max=322.28031527591804, Min=321.6989678827369
MINUTE: Average=322.2766537918537, Max=322.3791880663642, Min=322.1680666640756
MINUTE: Average=322.3480419148872, Max=322.4625444087649, Min=322.24512839009947
MINUTE: Average=322.5847481636354, Max=322.7564555100872, Min=322.35179673902877
MINUTE: Average=322.666044612915, Max=322.8496286126316, Min=322.461999531967
MINUTE: Average=322.79876631407814, Max=323.00716215009, Min=322.55994501621
MINUTE: Average=323.1494750690337, Max=323.282592832913, Min=322.92198912633995
MINUTE: Average=323.2354026925715, Max=323.50841966970603, Min=323.11348622264643
MINUTE: Average=323.53561966527536, Max=323.69143785825344, Min=323.41799265773733
MINUTE: Average=323.35193108033997, Max=323.57624293663537, Min=323.07868581882826
MINUTE: Average=323.2370336191106, Max=323.315192373029, Min=323.1271635053966
MINUTE: Average=323.1549607393853, Max=323.3462400799478, Min=322.97278795748093
MINUTE: Average=323.1863642897269, Max=323.26829241992044, Min=323.1014343085954
MINUTE: Average=323.27000560089175, Max=323.33785280162505, Min=323.18715596635167
MINUTE: Average=323.4621089863041, Max=323.67977550635834, Min=323.2119663149746
MINUTE: Average=323.4875823845676, Max=323.6350082174049, Min=323.225283435256
MINUTE: Average=323.4999954710484, Max=323.7501436179406, Min=323.25661239792436
MINUTE: Average=323.42350965795606, Max=323.54233324849815, Min=323.2936625340111
MINUTE: Average=323.5182047177746, Max=323.657203192086, Min=323.3669260665136
MINUTE: Average=323.2677572640579, Max=323.5006027041921, Min=323.06662667165426
MINUTE: Average=323.3548028575262, Max=323.5221925518405, Min=323.19887968637204
MINUTE: Average=323.10791080350185, Max=323.4420012118395, Min=322.89249492891213
MINUTE: Average=323.1377525651775, Max=323.2385988369723, Min=322.94109474509537
MINUTE: Average=323.24936755800303, Max=323.5664937285558, Min=323.0308488745241
MINUTE: Average=323.3566490271408, Max=323.47764564625, Min=323.3017230325109
MINUTE: Average=323.2943927710221, Max=323.3940576074623, Min=323.20679100112983
MINUTE: Average=323.57748417079875, Max=323.8154134888936, Min=323.37746013211495
MINUTE: Average=323.85686178263836, Max=323.9907255417294, Min=323.75125453914967
MINUTE: Average=324.15276926168076, Max=324.33192095407884, Min=323.9680389483673
MINUTE: Average=324.1646170004689, Max=324.3045595904371, Min=323.96161002170476
MINUTE: Average=324.1489666420253, Max=324.3662654614352, Min=323.994332994546
MINUTE: Average=323.83444744432467, Max=324.03304657187596, Min=323.6956923493314
MINUTE: Average=323.88869903934483, Max=324.02296689745384, Min=323.71447140903393
MINUTE: Average=324.2553421547351, Max=324.47427459899353, Min=323.93514642324874
MINUTE: Average=324.4450285655017, Max=324.616092248538, Min=324.307764949481
MINUTE: Average=324.30028020988806, Max=324.4431003115189, Min=324.07482469036154
MINUTE: Average=323.77154718674194, Max=324.07456844699357, Min=323.57355656708074
MINUTE: Average=323.62563945111674, Max=323.708590432045, Min=323.52655464778354
MINUTE: Average=323.66686228615623, Max=323.86246088682753, Min=323.52836075124577
MINUTE: Average=323.68749305671275, Max=323.82049978187894, Min=323.47971809849867
MINUTE: Average=323.7104856326677, Max=323.83418826772, Min=323.63570227517556
