
MINUTE: Average=256.77460330765985, Max=256.8474194407526, Min=256.667212065486
MINUTE: Average=256.8534828492344, Max=257.00578507903333, Min=256.69745567092673
MINUTE: Average=257.08462517413375, Max=257.24831909080984, Min=256.92276589186383
MINUTE: Average=256.9819822570115, Max=257.12559592372196, Min=256.89285105049703
MINUTE: Average=256.87403892994337, Max=257.0471366057756, Min=256.65597103606643
MINUTE: Average=257.00961758792783, Max=257.2571167991424, Min=256.7412347374542
MINUTE: Average=257.04716657837315, Max=257.2471706805502, Min=256.8265091675971
MINUTE: Average=256.84682609209915, Max=257.0484113246615, Min=256.55399674108907
MINUTE: Average=256.7165900743554, Max=256.8356195908829, Min=256.551940196237
MINUTE: Average=256.7160252040404, Max=256.8004469015061, Min=256.6189474071796
MINUTE: Average=256.5346835716119, Max=256.64289174237126, Min=256.4189112169103
MINUTE: Average=256.5204533552847, Max=256.6363386213106, Min=256.2790123160469
MINUTE: Average=256.1058320487156, Max=256.3540836950505, Min=255.9505557425952
MINUTE: Average=256.04603670977235, Max=256.1924279508057, Min=255.90249401444686
MINUTE: Average=256.1773534584438, Max=256.28681050374684, Min=256.05090038975624
MINUTE: Average=256.33218553252254, Max=256.46490282963265, Min=256.1495019586844
MINUTE: Average=256.4793813512346, Max=256.57609144981944, Min=256.3730717249556
MINUTE: Average=256.416029654044, Max=256.5370264049121, Min=256.22964647759284
MINUTE: Average=256.1424961982817, Max=256.27493479438294, Min=255.95853323963465
MINUTE: Average=256.10724935072733, Max=256.22275751559806, Min=255.98777327099052
MINUTE: Average=256.2262192070515, Max=256.3522302236706, Min=256.11020299860104
MINUTE: Average=255.97729503398986, Max=256.2437435180219, Min=255.68528819632948
MINUTE: Average=255.92612557291315, Max=256.1371100521922, Min=255.7855682895453
MINUTE: Average=256.0311552507759, Max=256.2184080941508, Min=255.9069494586463
MINUTE: Average=256.1636642011412, Max=256.29059325277694, Min=256.03441307440676
MINUTE: Average=255.9532767220529, Max=256.1034908914593, Min=255.77666999407802
MINUTE: Average=255.76005097592028, Max=256.0443079557345, Min=255.5918085351667
MINUTE: Average=255.7823609353845, Max=256.01403260201363, Min=255.55738151574164
MINUTE: Average=256.1975637686773, Max=256.37721225734765, Min=255.9637281715612
MINUTE: Average=256.2827989877564, Max=256.4922917881358, Min=256.1436259411006
MINUTE: Average=256.3671293065508, Max=256.510198017061, Min=256.169728183069
MINUTE: Average=256.2605039120403, Max=256.4057829123736, Min=256.16910686134855
MINUTE: Average=256.4646441306801, Max=256.6426653762077, Min=256.2714260864352
MINUTE: Average=256.6270333684236, Max=256.85362317711724, Min=256.4129493203679
MINUTE: Average=256.55579964379825, Max=256.8362978305652, Min=256.3544329608646
MINUTE: Average=256.673545018265, Max=256.8986240451808, Min=256.45565428893775
MINUTE: Average=256.97774862072686, Max=257.1478727942253, Min=256.8306274965455
MINUTE: Average=257.03661324330636, Max=257.1886300684809, Min=256.9035593729674
