
MINUTE: Average=433.3740590938253, Max=433.4608310917132, Min=433.264232652834
MINUTE: Average=433.21469849800235, Max=433.3769750236816, Min=433.0809302183555
MINUTE: Average=433.0002401543054, Max=433.27267013969214, Min=432.82161325690754
MINUTE: Average=432.98902050983014, Max=433.1328390009834, Min=432.83888144142884
MINUTE: Average=432.9661507383632, Max=433.0690405741726, Min=432.84706557153874
MINUTE: Average=432.909095058556, Max=433.01913359744185, Min=432.81290840371554
MINUTE: Average=432.8485519818309, Max=432.94078170092456, Min=432.68030943861453
MINUTE: Average=433.155582574684, Max=433.33427349010367, Min=432.86441075529984
MINUTE: Average=433.174826787708, Max=433.2521977150266, Min=433.0927364013157
MINUTE: Average=433.1637667051724, Max=433.2890522180945, Min=433.06422031521925
MINUTE: Average=433.12970356148304, Max=433.2330381664318, Min=433.0069646334444
MINUTE: Average=433.3290079252708, Max=433.473441902965, Min=433.17206749397786
MINUTE: Average=433.30612704382133, Max=433.413394848446, Min=433.1661966849421
MINUTE: Average=433.39205159884455, Max=433.5107452339181, Min=433.2292994811874
MINUTE: Average=433.7433353356273, Max=433.91293744434705, Min=433.4903932642222
MINUTE: Average=433.7166515705893, Max=433.8289912221009, Min=433.5736940216951
MINUTE: Average=433.79853341886394, Max=433.96542183373634, Min=433.6412730678305
MINUTE: Average=433.7774434566548, Max=433.9942245166236, Min=433.4579648728284
MINUTE: Average=433.4631332349826, Max=433.5210963399657, Min=433.3624480548459
MINUTE: Average=433.5103165810798, Max=433.6536306889982, Min=433.35986253033263
MINUTE: Average=433.5522153105811, Max=433.6435225479703, Min=433.4714801625636
MINUTE: Average=433.56613997517496, Max=433.686565785498, Min=433.43135438543374
MINUTE: Average=433.27691466789076, Max=433.54206605557715, Min=433.1227907260623
MINUTE: Average=433.12220519555837, Max=433.3502130133362, Min=432.97762529580245
MINUTE: Average=433.2143018864624, Max=433.389196521551, Min=432.9701432223498
MINUTE: Average=433.4748298854532, Max=433.58877070489945, Min=433.3437049314578
MINUTE: Average=433.39561296217295, Max=433.5332228588073, Min=433.19682675555833
MINUTE: Average=433.47822358621374, Max=433.7220590726935, Min=433.3154161158699
MINUTE: Average=433.625779158738, Max=433.7474480663405, Min=433.5046226389567
MINUTE: Average=433.8285792877375, Max=433.9978103146321, Min=433.58386506904395
MINUTE: Average=434.3696256572503, Max=434.6590685073666, Min=433.9402368270424
MINUTE: Average=434.2581708683834, Max=434.64261724434994, Min=433.96617166756243
MINUTE: Average=434.00426359061254, Max=434.1314800477446, Min=433.85368495042445
MINUTE: Average=434.138378203742, Max=434.4416888164811, Min=433.84727816194015
MINUTE: Average=434.44860875379635, Max=434.5915765942031, Min=434.27846291101616
MINUTE: Average=434.49330079044984, Max=434.5989886138465, Min=434.3795443103683
MINUTE: Average=434.42512548394893, Max=434.62163151074327, Min=434.2527581906573
MINUTE: Average=434.5207994647975, Max=434.62820563580163, Min=434.40024380199867
MINUTE: Average=434.60725896641816, Max=434.73216079713166, Min=434.4301089300605
MINUTE: Average=434.5142947237101, Max=434.6968756867114, Min=434.3164428266566
MINUTE: Average=434.170674234356, Max=434.35115904143925, Min=433.97990926697935
MINUTE: Average=433.8681178131316, Max=434.0172816521989, Min=433.6473673785038
MINUTE: Average=433.9443902214812, Max=434.0581195742661, Min=433.8168381772674
MINUTE: Average=433.83772541827244, Max=433.9494118646447, Min=433.71456444906283
MINUTE: Average=434.03858353897726, Max=434.1620490912609, Min=433.844689712376
MINUTE: Average=434.1026111372423, Max=434.2888949257799, Min=433.9117714381082
MINUTE: Average=434.400310237134, Max=434.5579095137276, Min=434.2339250883698
MINUTE: Average=434.4669260581591, Max=434.5905285989615, Min=434.2650063377567
MINUTE: Average=434.1727488988466, Max=434.3301718454535, Min=434.0538152338155
MINUTE: Average=434.2342409170584, Max=434.4020712645696, Min=433.9320130112552
MINUTE: Average=434.2904011567262, Max=434.42433791331285, Min=434.2141273553071
MINUTE: Average=434.47018556969084, Max=434.58656895607874, Min=434.30880382451585
MINUTE: Average=434.46908499812037, Max=434.56788315092166, Min=434.3249804772885
MINUTE: Average=434.6466554296068, Max=434.76418736101175, Min=434.54113319440137
MINUTE: Average=434.3840053907378, Max=434.61152490671816, Min=434.23970235239244
MINUTE: Average=434.32456592826077, Max=434.5046237745651, Min=434.0983977017768
MINUTE: Average=434.2986183597701, Max=434.46010109308725, Min=434.1680414907692
MINUTE: Average=434.1519570391402, Max=434.41893738385795, Min=433.88569380179484
MINUTE: Average=433.9875720260006, Max=434.0831687384173, Min=433.90369100694204
MINUTE: Average=434.03932859591134, Max=434.12580050776535, Min=433.91043971714845
MINUTE: Average=434.00772867200527, Max=434.19206097257796, Min=433.8821841969404
MINUTE: Average=434.24307208338956, Max=434.412838494873, Min=434.1364327078244
MINUTE: Average=434.4332543222061, Max=434.67067232279726, Min=434.1779107843955
MINUTE: Average=434.3910003565989, Max=434.5623668561114, Min=434.2344052468513
MINUTE: Average=434.3925558827398, Max=434.6035113727921, Min=434.25721900570903
MINUTE: Average=434.30328941680705, Max=434.47899991630584, Min=434.1108751759256
MINUTE: Average=434.1443085097354, Max=434.215345043305, Min=434.0823063049047
MINUTE: Average=434.0141850335784, Max=434.2460758935005, Min=433.795125017244
MINUTE: Average=433.7540340752855, Max=433.8897711689971, Min=433.61071188304976
MINUTE: Average=433.63276607464064, Max=433.7992142118417, Min=433.52902535058234
MINUTE: Average=433.77286070754775, Max=433.8847453684053, Min=433.61476921911094
MINUTE: Average=433.6166355555849, Max=433.84726818964214, Min=433.44266787379075
MINUTE: Average=433.4794537924967, Max=433.61303614156327, Min=433.33792851936715
MINUTE: Average=433.3576332127389, Max=433.51490361907224, Min=433.2332276161806
MINUTE: Average=433.27223781077157, Max=433.3752374392901, Min=433.15410050357417
MINUTE: Average=433.2772348785089, Max=433.3647088300096, Min=433.19583423076244
MINUTE: Average=433.455467064713, Max=433.5479225270229, Min=433.3207720132468
MINUTE: Average=433.3778699130354, Max=433.5147920525687, Min=433.23824842286365
MINUTE: Average=433.22424356476375, Max=433.39610655157264, Min=433.05058555660867
MINUTE: Average=433.07566583999176, Max=433.2194492024619, Min=432.9110979298009
MINUTE: Average=432.89810662150387, Max=433.1428239598725, Min=432.7362470120427
MINUTE: Average=432.91093847496853, Max=433.23279770461113, Min=432.6933144929412
MINUTE: Average=433.1060562760986, Max=433.2354143902959, Min=433.01226732934305
MINUTE: Average=432.81692119533807, Max=433.06642071662975, Min=432.59604049228324
MINUTE: Average=432.8576442938538, Max=433.0458054079154, Min=432.68895744094414
MINUTE: Average=432.96038275508056, Max=433.1041211951919, Min=432.79310390086357
MINUTE: Average=432.8876398770223, Max=433.0324679727959, Min=432.726374578099
MINUTE: Average=432.69510804932423, Max=432.76998372542596, Min=432.5657997745963
MINUTE: Average=432.8134529368921, Max=432.97168720197175, Min=432.69179237454046
MINUTE: Average=433.11693411752105, Max=433.2965232486599, Min=432.92197451428115
MINUTE: Average=433.2338404842627, Max=433.39438967778284, Min=433.0209503134149
MINUTE: Average=433.2212106952551, Max=433.38578277978746, Min=433.0476016549441
MINUTE: Average=433.09703793284086, Max=433.33846384291604, Min=432.85510698342057
MINUTE: Average=432.88648686432265, Max=433.0366514301154, Min=432.7904043229428
MINUTE: Average=432.99934017315957, Max=433.2156611320743, Min=432.7790413701205
MINUTE: Average=433.09426337073563, Max=433.2576781747618, Min=432.9023616754452
MINUTE: Average=433.03213764726047, Max=433.2253643178267, Min=432.83716492459877
MINUTE: Average=433.2338257357326, Max=433.36562834652034, Min=433.00686855758187
MINUTE: Average=433.2722497799263, Max=433.37338860064773, Min=433.1289576809768
MINUTE: Average=433.29778835438026, Max=433.63392608923533, Min=433.14518706012956
