

MINUTE: Average=187.38956209612505, Max=187.59764572770533, Min=187.17235103868796
MINUTE: Average=187.27177261030934, Max=187.4116258485606, Min=187.12779028057733
MINUTE: Average=186.8256923378755, Max=187.25216353166886, Min=186.44568365307572
MINUTE: Average=186.26703299559773, Max=186.49883931459897, Min=186.05385754107917
MINUTE: Average=186.52914390927972, Max=186.63341210874518, Min=186.41069777710297
MINUTE: Average=186.5317760617297, Max=186.65935400966336, Min=186.4195365621269
MINUTE: Average=186.46561240635572, Max=186.62434477761943, Min=186.35933372663436
MINUTE: Average=186.26364779799735, Max=186.40662307413177, Min=186.16872594828752
MINUTE: Average=186.12493961830558, Max=186.24760912760166, Min=186.02102591829984
MINUTE: Average=186.1996186604273, Max=186.38925179974353, Min=186.03300023243003
MINUTE: Average=186.5065098343504, Max=186.6020913964364, Min=186.35056938853978
MINUTE: Average=186.68009450242508, Max=186.8764733776317, Min=186.54933818264084
MINUTE: Average=186.9392193153174, Max=187.14838971995212, Min=186.71224364707462
MINUTE: Average=187.09164614292243, Max=187.21101584624483, Min=186.98289194176854
MINUTE: Average=187.14563066120138, Max=187.31416628031457, Min=187.00842564401927
MINUTE: Average=187.23550417620203, Max=187.42709110681008, Min=187.1227419780321
MINUTE: Average=187.43990465882487, Max=187.60992550842025, Min=187.2543550261676
MINUTE: Average=187.5008717365581, Max=187.58697368461907, Min=187.41310244020346
MINUTE: Average=187.407014606894, Max=187.4953613313711, Min=187.27913770073525
MINUTE: Average=187.23986520235624, Max=187.41964932895524, Min=187.06379005637885
MINUTE: Average=187.13741043393716, Max=187.22587006893548, Min=187.06360772546842
MINUTE: Average=186.905648931641, Max=187.18434019724185, Min=186.76243887949946
MINUTE: Average=186.85092635780575, Max=186.98825762706247, Min=186.70852683224913
MINUTE: Average=186.7696656321618, Max=186.93884915092866, Min=186.61831883940906
MINUTE: Average=186.9331366496904, Max=187.1049982335344, Min=186.69329933222048
MINUTE: Average=187.09741300569456, Max=187.20737253187053, Min=186.98244893289802
MINUTE: Average=187.06052967318593, Max=187.21640769654826, Min=186.9230322040595
MINUTE: Average=186.92099680858954, Max=187.11665865950692, Min=186.74196233992942
MINUTE: Average=186.8636484801141, Max=186.99844051887638, Min=186.74130149185467
MINUTE: Average=186.75750095034363, Max=186.9273037998987, Min=186.57923325375134
MINUTE: Average=186.65403044470304, Max=186.76624677758775, Min=186.51998321979536
MINUTE: Average=186.6762301492209, Max=186.88825163396862, Min=186.4679817093179
MINUTE: Average=186.48707087948378, Max=186.61563611847825, Min=186.38015395297833
MINUTE: Average=186.37306662695138, Max=186.6308685818579, Min=186.2035494422462
MINUTE: Average=186.68218442215388, Max=186.79200544358957, Min=186.5179588715103
MINUTE: Average=186.65715295948522, Max=186.80838131435337, Min=186.56125673978934
MINUTE: Average=186.6553268369898, Max=186.79956531317393, Min=186.52927460471003
MINUTE: Average=186.85665927985562, Max=186.95152033019582, Min=186.7520175931852
MINUTE: Average=186.56986452395003, Max=186.7292210422697, Min=186.36031593811938
MINUTE: Average=186.14395601958273, Max=186.3610130111637, Min=185.80864867307943
MINUTE: Average=185.88322770955094, Max=186.044850237647, Min=185.76052996892696
MINUTE: Average=185.82053195244472, Max=185.92894526630138, Min=185.72143228015943
MINUTE: Average=185.87596865921597, Max=185.9628680812715, Min=185.75986611329503
MINUTE: Average=185.93357125982175, Max=186.10726703059981, Min=185.810891505602
MINUTE: Average=185.9990012621773, Max=186.13583503271488, Min=185.90859929314078
MINUTE: Average=186.0421833701494, Max=186.34733199682205, Min=185.80795047479654
MINUTE: Average=186.11355183439736, Max=186.3067896186288, Min=185.9452102957548
