
MINUTE: Average=216.26893481971632, Max=216.41614535411958, Min=216.0784350630854
MINUTE: Average=216.2121805582322, Max=216.36340917508255, Min=216.11870087570134
MINUTE: Average=216.2465865291504, Max=216.43302921770055, Min=216.04344306251056
MINUTE: Average=216.45243788461718, Max=216.67881354150572, Min=216.28391927354346
MINUTE: Average=216.64556833426744, Max=216.87044968990082, Min=216.4153519807636
MINUTE: Average=216.74061966486525, Max=216.8927512906346, Min=216.5980070825201
MINUTE: Average=216.76701446108663, Max=216.940981148207, Min=216.57449001084487
MINUTE: Average=216.52952491222544, Max=216.71712654160888, Min=216.2806004264553
MINUTE: Average=216.43205780353176, Max=216.6414677635456, Min=216.27388180567786
MINUTE: Average=216.35556241999782, Max=216.5475534709658, Min=216.13264634903425
MINUTE: Average=216.40934070393135, Max=216.51964208619475, Min=216.2915364921573
MINUTE: Average=216.17428244326013, Max=216.5100572054801, Min=215.91819302162384
MINUTE: Average=216.00265544654317, Max=216.14589371211275, Min=215.85430746167606
MINUTE: Average=216.12326804529494, Max=216.20195760667832, Min=216.00952970742117
MINUTE: Average=215.98232300294936, Max=216.10152615193894, Min=215.77686350472155
MINUTE: Average=215.66160405360367, Max=215.8611005711434, Min=215.36419149935597
MINUTE: Average=215.28271759063153, Max=215.36292288473058, Min=215.16642116981296
MINUTE: Average=215.39372021379077, Max=215.49395826131428, Min=215.23194166500159
MINUTE: Average=215.52030215427027, Max=215.68178071234266, Min=215.40949347839944
MINUTE: Average=215.55036930591012, Max=215.6901776447042, Min=215.45589713994275
MINUTE: Average=215.2752739975638, Max=215.4460219878577, Min=215.04440996673583
MINUTE: Average=215.11151359832775, Max=215.27190713833582, Min=214.952197085778
MINUTE: Average=214.9493645852382, Max=215.01895906205934, Min=214.84617930566048
MINUTE: Average=214.92935966487013, Max=215.05830177436354, Min=214.81492183528803
MINUTE: Average=214.94273356578395, Max=215.06352388828992, Min=214.80413673297883
MINUTE: Average=215.05983634050912, Max=215.19422501403955, Min=214.90720334997286
MINUTE: Average=215.1546050237354, Max=215.23643853648673, Min=215.06499407793058
MINUTE: Average=215.04217661781766, Max=215.19510147887692, Min=214.92760729928412
MINUTE: Average=215.26412715962604, Max=215.43210006595012, Min=215.06043334394894
MINUTE: Average=215.54971157480148, Max=215.80672143420531, Min=215.31228775874945
MINUTE: Average=215.8545170925099, Max=215.9985127612416, Min=215.73252872699024
MINUTE: Average=215.8229092951497, Max=215.9778349364415, Min=215.72022312002048
MINUTE: Average=215.7214308177856, Max=215.88278019097393, Min=215.50286934372753
MINUTE: Average=215.4838198344785, Max=215.63416134809242, Min=215.37872397460643
MINUTE: Average=215.5441124784569, Max=215.76526554746428, Min=215.39115760737906
MINUTE: Average=216.05031941147664, Max=216.27885528862944, Min=215.7428780439596
MINUTE: Average=216.05296713964995, Max=216.1887421727896, Min=215.83682735205466
MINUTE: Average=216.04606623368898, Max=216.23551858359065, Min=215.82578490869733
MINUTE: Average=215.81110421469714, Max=216.09051469614127, Min=215.61374064909376
MINUTE: Average=216.07250551351416, Max=216.18365204935577, Min=215.8670984366751
MINUTE: Average=216.11869629864887, Max=216.1914686471669, Min=216.02962081887807
MINUTE: Average=216.23405497454297, Max=216.47907912666201, Min=216.06572805548527
MINUTE: Average=216.5105374200621, Max=216.6087529555893, Min=216.4011601051887
MINUTE: Average=216.600530971077, Max=216.71754311655982, Min=216.46388104277298
MINUTE: Average=216.57148017571083, Max=216.671677189693, Min=216.49129819924036
MINUTE: Average=216.49630425766006, Max=216.64935811339947, Min=216.34810817214617
MINUTE: Average=216.8168936595682, Max=216.945802896353, Min=216.5891162268768
MINUTE: Average=216.86033365237373, Max=216.98245075681982, Min=216.7279850753121
MINUTE: Average=216.86086855742303, Max=216.9814526137498, Min=216.7682155010357
MINUTE: Average=216.70523032370784, Max=216.89536515784397, Min=216.54171998449212
MINUTE: Average=216.6855675461388, Max=216.8278787877294, Min=216.50300907980403
MINUTE: Average=216.52825221677247, Max=216.59857514456252, Min=216.4078536330222
MINUTE: Average=216.72506192309896, Max=216.95914480624612, Min=216.50378825453518
MINUTE: Average=216.87558650523755, Max=217.0059653448215, Min=216.75367186320327
