
MINUTE: Average=149.19270727174842, Max=149.41531771189176, Min=149.00275191080513
MINUTE: Average=149.66373812259175, Max=150.07455845487524, Min=149.34075947640122
MINUTE: Average=150.00632366499667, Max=150.09334721030334, Min=149.9295903888221
MINUTE: Average=150.09180532836152, Max=150.2175450068114, Min=149.94555714257552
MINUTE: Average=150.13835838987364, Max=150.22365466031476, Min=150.06792565720536
MINUTE: Average=149.7232733204433, Max=150.13705329060792, Min=149.45014046762094
MINUTE: Average=149.56536340483834, Max=149.67769549838152, Min=149.46155475168317
MINUTE: Average=149.43828150550436, Max=149.56681755485528, Min=149.31557605543347
MINUTE: Average=149.57662273615, Max=149.78152061899192, Min=149.4573437378228
MINUTE: Average=149.8654915318552, Max=149.97605846307266, Min=149.7420859092107
MINUTE: Average=149.75528910236906, Max=149.92920568041205, Min=149.6294582371625
MINUTE: Average=150.04627359599758, Max=150.14869605607214, Min=149.9121936621783
MINUTE: Average=149.81631967089345, Max=149.9323374225007, Min=149.68360149951312
MINUTE: Average=149.66055678026663, Max=149.80031764008925, Min=149.50211293363677
MINUTE: Average=149.55769331603867, Max=149.683591273004, Min=149.45912630856478
MINUTE: Average=149.43713802528728, Max=149.59749323903077, Min=149.2866661067047
MINUTE: Average=149.43478937601057, Max=149.53954041697398, Min=149.33216334463478
MINUTE: Average=149.25202887019168, Max=149.4259263370093, Min=149.04174768080532
MINUTE: Average=149.0568131208585, Max=149.20748746884894, Min=148.88648101587384
MINUTE: Average=149.36136464612775, Max=149.62397869005306, Min=149.08207229760208
MINUTE: Average=149.32243627791604, Max=149.62432856944915, Min=149.14268323323276
MINUTE: Average=149.19224680084702, Max=149.31337500562046, Min=149.0989718375992
MINUTE: Average=149.34361138135355, Max=149.53202221240159, Min=149.1670668334192
MINUTE: Average=149.42629426580862, Max=149.53221482031378, Min=149.3146752599405
MINUTE: Average=149.43720274055806, Max=149.5742596722475, Min=149.24911707577817
MINUTE: Average=149.25322385349548, Max=149.39933411417343, Min=149.1747993142258
MINUTE: Average=149.34390332589336, Max=149.4572298984981, Min=149.22980735683234
MINUTE: Average=149.42202101655778, Max=149.54015786019195, Min=149.30628497224563
