
MINUTE: Average=210.66190648334876, Max=210.74464959561, Min=210.54601680316964
MINUTE: Average=210.39783936655732, Max=210.58834875565717, Min=210.22201782135846
MINUTE: Average=210.3146845517278, Max=210.4102846060923, Min=210.2001026939834
MINUTE: Average=210.37375841195174, Max=210.52360749084696, Min=210.24624635845382
MINUTE: Average=210.3899845047034, Max=210.48141686174657, Min=210.31410880771423
MINUTE: Average=210.2895053230687, Max=210.40989483608, Min=210.19340052012168
MINUTE: Average=210.1382188539011, Max=210.30739150081078, Min=209.95443027389277
MINUTE: Average=210.05775955424687, Max=210.19990600706322, Min=209.9339762076267
MINUTE: Average=209.9843432375133, Max=210.16849277157806, Min=209.65837227621603
MINUTE: Average=209.82953519275827, Max=209.98284086528977, Min=209.68845428521888
MINUTE: Average=209.9763969241111, Max=210.210798303376, Min=209.8507083492885
MINUTE: Average=210.0108145596567, Max=210.2046003074043, Min=209.75324918995912
MINUTE: Average=209.97704644853218, Max=210.07479637321893, Min=209.9002734532551
MINUTE: Average=210.37689241531118, Max=210.71641744496895, Min=209.97755299250147
MINUTE: Average=210.89300799334035, Max=211.11436967192128, Min=210.64376834543944
MINUTE: Average=210.9845353687313, Max=211.1410349035532, Min=210.80711123828385
MINUTE: Average=210.99380965824176, Max=211.16202650768568, Min=210.87055250607443
MINUTE: Average=210.8643970648172, Max=211.07663013522202, Min=210.75675309993775
MINUTE: Average=210.9252350831342, Max=211.04296699400197, Min=210.81820333913402
MINUTE: Average=210.8246979508866, Max=210.98328190559752, Min=210.67396324269342
MINUTE: Average=210.70287534436636, Max=210.86394322989358, Min=210.58847375559085
MINUTE: Average=210.84749984798037, Max=210.96203658888146, Min=210.75555470692126
MINUTE: Average=210.86817055951872, Max=210.9714373099666, Min=210.72362153869966
MINUTE: Average=210.6272473973132, Max=210.7197176958912, Min=210.54280753513635
MINUTE: Average=210.7513145984797, Max=210.88210469707377, Min=210.58312561984624
MINUTE: Average=210.91722792024248, Max=211.08214655694053, Min=210.77862372673633
MINUTE: Average=210.99305698295683, Max=211.10943771921185, Min=210.8731021524243
MINUTE: Average=211.06102964478325, Max=211.2105543570145, Min=210.93051898622153
MINUTE: Average=211.1312625212436, Max=211.23567847871757, Min=210.92906217083984
MINUTE: Average=211.08116784643136, Max=211.2067201747173, Min=210.90449085684628
MINUTE: Average=210.87066686362297, Max=211.11003003738847, Min=210.56614613224
MINUTE: Average=210.87516932895792, Max=210.98003232651607, Min=210.69549107605948
MINUTE: Average=210.9941449386748, Max=211.15120889935267, Min=210.80971757460017
MINUTE: Average=211.0198400664714, Max=211.14914575834877, Min=210.8895176436238
MINUTE: Average=210.76542444561795, Max=210.89459942244815, Min=210.63491693347277
MINUTE: Average=210.67314515338842, Max=210.84100221705, Min=210.51556012315163
MINUTE: Average=210.6808014051274, Max=210.83993790174497, Min=210.49148957720007
MINUTE: Average=210.79575889184952, Max=210.92502193009258, Min=210.5676969086291
MINUTE: Average=210.52265615390505, Max=210.77682435957226, Min=210.37619687626022
MINUTE: Average=210.57891448134296, Max=210.6941285436738, Min=210.32392231436316
MINUTE: Average=210.07743352033842, Max=210.39501569862622, Min=209.862183552633
MINUTE: Average=210.12237021288803, Max=210.34644418367944, Min=209.8806102336934
MINUTE: Average=210.2974550417667, Max=210.39770905770098, Min=210.20418810530003
MINUTE: Average=210.35377906997857, Max=210.55770437587606, Min=210.16379838699063
MINUTE: Average=210.37693380192422, Max=210.4547117691597, Min=210.26075732550473
MINUTE: Average=210.41779932406365, Max=210.55028675137618, Min=210.29456486938574
MINUTE: Average=210.3723293058242, Max=210.46349241875583, Min=210.28172786604148
MINUTE: Average=210.02571666054786, Max=210.28438496157327, Min=209.92688207093713
MINUTE: Average=209.90003111106304, Max=210.00421145842876, Min=209.76126741261155
MINUTE: Average=209.86952116616283, Max=210.0188086056474, Min=209.75086676665475
MINUTE: Average=209.99975396217386, Max=210.2694255686814, Min=209.811285073166
MINUTE: Average=209.8750886407994, Max=210.17625240437644, Min=209.6942097085833
MINUTE: Average=209.80817435302245, Max=210.02056613204346, Min=209.54465605616465
MINUTE: Average=210.0513467460913, Max=210.15143728906065, Min=209.90597165534027
MINUTE: Average=209.9936570889143, Max=210.1808567381684, Min=209.8125120530129
MINUTE: Average=209.88348559282113, Max=209.982168557263, Min=209.79450975975718
MINUTE: Average=209.85066705056735, Max=210.0369391661708, Min=209.6949053752663
MINUTE: Average=209.9099587769204, Max=210.02261359592956, Min=209.81086694038484
MINUTE: Average=209.85048860884763, Max=210.01968374858876, Min=209.6247013909147
MINUTE: Average=209.6869364986842, Max=209.8225363453648, Min=209.5532203232223
MINUTE: Average=209.65202342201235, Max=209.86972983321513, Min=209.2984280156571
MINUTE: Average=209.2896459616275, Max=209.37716930344212, Min=209.15303683724676
MINUTE: Average=209.2266699081429, Max=209.3122657909125, Min=209.11144179949
MINUTE: Average=208.88000891904915, Max=209.09922455051134, Min=208.77070771672248
MINUTE: Average=208.8312954707591, Max=209.0873470786004, Min=208.65327323957126
MINUTE: Average=209.18582732314837, Max=209.36228195320322, Min=209.03017886206453
MINUTE: Average=209.0954291953654, Max=209.25890393021595, Min=208.95690787088202
MINUTE: Average=209.140656796343, Max=209.40539301880267, Min=208.9888620696349
MINUTE: Average=209.03092001728743, Max=209.14574843989968, Min=208.93342114168243
MINUTE: Average=209.12952987266252, Max=209.32639971790286, Min=208.98831294391715
MINUTE: Average=208.93539897597714, Max=209.15365940204921, Min=208.8066644751061
MINUTE: Average=208.8254178057296, Max=208.95943012632605, Min=208.69352868762107
MINUTE: Average=208.62017026749407, Max=208.81844161246096, Min=208.4462954409547
MINUTE: Average=208.3414713906082, Max=208.5786395603927, Min=208.0539140092243
MINUTE: Average=208.13478630176255, Max=208.24714212953216, Min=208.0203115457814
MINUTE: Average=208.1409231987328, Max=208.25141457087642, Min=207.99557590793898
MINUTE: Average=208.16286455477672, Max=208.3894606644069, Min=207.93141622186624
MINUTE: Average=208.35033470570096, Max=208.49636124876537, Min=208.20552715313212
MINUTE: Average=208.48596502480947, Max=208.6049663963728, Min=208.37685332284616
MINUTE: Average=208.23023535287348, Max=208.49296719177045, Min=208.05948160447403
MINUTE: Average=208.03216767667448, Max=208.16132442772633, Min=207.94921764904154
MINUTE: Average=207.81649184498974, Max=208.06142617299008, Min=207.67300348597752
MINUTE: Average=207.7272695350768, Max=207.90321317378513, Min=207.57770188260312
MINUTE: Average=207.78794165824098, Max=207.94421710414588, Min=207.6647699582019
MINUTE: Average=207.7337056376737, Max=207.833810212872, Min=207.63321000158024
MINUTE: Average=207.68908315727464, Max=207.8650287174755, Min=207.57707680205252
MINUTE: Average=207.77598794759294, Max=208.00249394738424, Min=207.59243839123684
MINUTE: Average=208.05206742177842, Max=208.1784081904108, Min=207.9112392527948
MINUTE: Average=208.0585495955617, Max=208.2083117360552, Min=207.83525987382512
MINUTE: Average=207.9138384885465, Max=208.0656107547959, Min=207.79808596859084
MINUTE: Average=208.18493329717623, Max=208.39710685468935, Min=208.04382417831027
MINUTE: Average=208.13759305127238, Max=208.2434913753385, Min=208.00720445827108
MINUTE: Average=208.16536027478952, Max=208.32386510553727, Min=208.05780364036332
MINUTE: Average=208.35062058771874, Max=208.49562703450698, Min=208.2089115959387
MINUTE: Average=208.4465611076217, Max=208.57113233293296, Min=208.3241789463657
MINUTE: Average=208.57035248483075, Max=208.77218791557715, Min=208.31184187779178
MINUTE: Average=208.8382385466726, Max=208.99546877843457, Min=208.66976614836454
MINUTE: Average=209.06516491673477, Max=209.34715508327378, Min=208.82945725874376
MINUTE: Average=209.35669028423118, Max=209.51017197413898, Min=209.24497240736932
MINUTE: Average=209.52745649760445, Max=209.6913039350761, Min=209.3461095841229
MINUTE: Average=209.42656141313321, Max=209.55161442682842, Min=209.3011528772461
MINUTE: Average=209.13520709586984, Max=209.40126908434803, Min=208.87176100106794
MINUTE: Average=208.80637491441587, Max=208.96832817676582, Min=208.59576231323953
MINUTE: Average=208.4719781800559, Max=208.78862541388366, Min=208.22984371072792
MINUTE: Average=208.36296783214416, Max=208.486177400652, Min=208.224444223264
MINUTE: Average=208.10904327552095, Max=208.21201136642355, Min=207.91006659557166
MINUTE: Average=207.9188913693502, Max=208.1375180689011, Min=207.78130114831293
MINUTE: Average=208.00625738519298, Max=208.13204987978546, Min=207.81971541684416
MINUTE: Average=208.00599881174512, Max=208.14022022097888, Min=207.90821191250848
MINUTE: Average=207.96234335721482, Max=208.09482739822025, Min=207.84401643757198
MINUTE: Average=207.86967216223383, Max=208.00350786410635, Min=207.74841603638302
MINUTE: Average=208.20370523981208, Max=208.37701777486757, Min=208.0310942071938
MINUTE: Average=208.46602317543065, Max=208.65872546116037, Min=208.30149911269896
MINUTE: Average=208.94745791795623, Max=209.09302787731667, Min=208.61969484371116
MINUTE: Average=209.05134568028353, Max=209.26296671851384, Min=208.8467120647301
MINUTE: Average=208.95253317402958, Max=209.13109763828874, Min=208.82861889013694
MINUTE: Average=209.0575484044449, Max=209.2087330773718, Min=208.90724272961188
MINUTE: Average=209.05579190528385, Max=209.19498356501714, Min=208.91125467768757
MINUTE: Average=209.0001917661141, Max=209.131564285978, Min=208.90100481685485
MINUTE: Average=208.92848059062163, Max=209.02662472046214, Min=208.80665905939435
MINUTE: Average=209.06959258888702, Max=209.31372886653887, Min=208.88411121116593
MINUTE: Average=209.3797345204538, Max=209.53323891780767, Min=209.2267431235974
MINUTE: Average=209.57026159546936, Max=209.73262972633728, Min=209.44101491899795
MINUTE: Average=209.86565749489714, Max=210.1080962471781, Min=209.6961845475997
MINUTE: Average=209.9985037240645, Max=210.12317907094388, Min=209.82885626136476
MINUTE: Average=210.12515286059337, Max=210.20160180208535, Min=210.04086510494855
MINUTE: Average=210.21912721648687, Max=210.3775990423405, Min=210.07713089672538
MINUTE: Average=210.61527150673206, Max=210.7707563960609, Min=210.33362275351521
MINUTE: Average=210.37620884799313, Max=210.5836964347768, Min=210.26307558554785
MINUTE: Average=210.4539601950379, Max=210.71234109660165, Min=210.2589670671994
MINUTE: Average=210.44319947929372, Max=210.57127982296504, Min=210.324339211246
MINUTE: Average=210.555074077137, Max=210.702931040047, Min=210.41016291201913
MINUTE: Average=210.71204933704965, Max=210.9346160058924, Min=210.46568339898252
MINUTE: Average=210.71111966120588, Max=210.80539178399715, Min=210.57356920291062
