
MINUTE: Average=302.28166370000025, Max=302.376055828472, Min=302.1115003116663
MINUTE: Average=302.2413909387595, Max=302.40077453860994, Min=302.11592308107066
MINUTE: Average=302.35904485994837, Max=302.5614894055625, Min=302.2121948641274
MINUTE: Average=302.07477914482104, Max=302.27576595190794, Min=301.8807153066952
MINUTE: Average=301.72295316607665, Max=301.88276485741085, Min=301.5915074026246
MINUTE: Average=301.7994084608984, Max=301.9459955517608, Min=301.64778341707887
MINUTE: Average=301.7165203669585, Max=301.82335557020923, Min=301.5754983476643
MINUTE: Average=301.69682855275846, Max=301.79340670897136, Min=301.52415108875965
MINUTE: Average=301.4517253346645, Max=301.6194820529085, Min=301.3225472090865
MINUTE: Average=301.2161714300979, Max=301.4128424595099, Min=301.0996050942857
MINUTE: Average=301.17548917266953, Max=301.2966684470248, Min=301.0746415861775
MINUTE: Average=301.1803257863268, Max=301.3144735706858, Min=301.0611934265863
MINUTE: Average=300.98017170934287, Max=301.1515003711112, Min=300.7686138939702
MINUTE: Average=300.77287471777214, Max=300.8915399661847, Min=300.650667063311
MINUTE: Average=300.5868357805441, Max=300.78076918899166, Min=300.4974044446716
MINUTE: Average=300.57902054610156, Max=300.6906894351716, Min=300.40532250882256
MINUTE: Average=300.53053273297115, Max=300.68677120966805, Min=300.3044075365364
MINUTE: Average=300.3991061608065, Max=300.5751097189568, Min=300.23566142600816
MINUTE: Average=300.45159550657957, Max=300.6380317601607, Min=300.3238036428293
MINUTE: Average=300.52125585965666, Max=300.64127127582236, Min=300.34821587000096
MINUTE: Average=300.35190265676096, Max=300.47950512500427, Min=300.2320010091639
MINUTE: Average=300.14006998456756, Max=300.2670541854791, Min=300.0390583641507
MINUTE: Average=300.29146704926404, Max=300.4340947521662, Min=300.1683054464136
MINUTE: Average=300.4066046814497, Max=300.5648047651345, Min=300.2385948360993
MINUTE: Average=300.7766725511467, Max=301.08226831071096, Min=300.4493652127689
MINUTE: Average=301.18885613393456, Max=301.38212447502707, Min=300.9961063720731
MINUTE: Average=301.22056151660826, Max=301.35918743525633, Min=301.055370317385
MINUTE: Average=300.98322329673834, Max=301.268418607741, Min=300.728374818935
