
MINUTE: Average=31.839038303180214, Max=32.029988434075236, Min=31.611449581765736
MINUTE: Average=31.852177633005386, Max=32.00000013671283, Min=31.70778374872239
MINUTE: Average=31.709804235650765, Max=31.859276242650964, Min=31.572352106578254
MINUTE: Average=31.81136239570746, Max=31.981829862014308, Min=31.690831380821415
MINUTE: Average=31.803375321769074, Max=31.93013505663045, Min=31.611695515171498
MINUTE: Average=31.718224089424773, Max=31.915545788833306, Min=31.5642085583263
MINUTE: Average=32.00924074966596, Max=32.123658346423035, Min=31.901361367879854
MINUTE: Average=31.79792824769887, Max=31.957451345709178, Min=31.66900677264206
MINUTE: Average=31.91636846543864, Max=32.20452614449922, Min=31.722712452104645
MINUTE: Average=32.38339865774403, Max=32.59260116395917, Min=32.18050936205465
MINUTE: Average=32.631959506304064, Max=32.739723388856895, Min=32.50759989477285
MINUTE: Average=32.913584547328334, Max=33.08583808726447, Min=32.70052530758388
MINUTE: Average=32.74980436790508, Max=32.94001708303887, Min=32.61164917516968
MINUTE: Average=32.616486112540514, Max=32.69565521927239, Min=32.5155472456698
MINUTE: Average=32.615280445854, Max=32.720351865671226, Min=32.55974375932193
MINUTE: Average=32.61790490444431, Max=32.733906276041594, Min=32.51352145100129
MINUTE: Average=32.7259852235156, Max=32.85948437780335, Min=32.650401992127975
MINUTE: Average=32.90813805980689, Max=33.165707436950754, Min=32.6752017895383
MINUTE: Average=33.22308248783555, Max=33.30090932482361, Min=33.12260568286311
MINUTE: Average=33.20309672507241, Max=33.28135422954107, Min=33.124658417942904
MINUTE: Average=33.208077830881535, Max=33.29992316754219, Min=33.09796038718689
MINUTE: Average=33.167289536546086, Max=33.34000805607772, Min=33.052322797427394
MINUTE: Average=33.35758363249651, Max=33.473940778397704, Min=33.13341323584601
MINUTE: Average=33.48444905131377, Max=33.64977897320112, Min=33.304310098225756
MINUTE: Average=33.67027347413247, Max=33.782639824202164, Min=33.559678168934056
MINUTE: Average=33.59479055026393, Max=33.744645240592355, Min=33.46651871539262
MINUTE: Average=33.74972552392805, Max=33.858605883561225, Min=33.66714100907007
MINUTE: Average=33.66515686214266, Max=33.81749921012058, Min=33.51709044027821
MINUTE: Average=33.4860733006605, Max=33.5945374901501, Min=33.368603451438894
MINUTE: Average=33.481358040955804, Max=33.696162410757196, Min=33.30384641582241
MINUTE: Average=33.58241308205822, Max=33.72422139496286, Min=33.470655523756946
MINUTE: Average=33.739449277305475, Max=33.945603752589115, Min=33.583313992502184
MINUTE: Average=33.62014876716036, Max=33.851116129355724, Min=33.45970571256849
MINUTE: Average=33.745081383890025, Max=33.89004443397451, Min=33.608850618586295
MINUTE: Average=33.770112552998704, Max=33.88025783577856, Min=33.655349315228946
MINUTE: Average=33.7706508012929, Max=33.91208241206138, Min=33.65454782025941
MINUTE: Average=33.80305714464441, Max=33.938874076475145, Min=33.636512123349455
MINUTE: Average=34.279597956573916, Max=34.531741946760405, Min=33.96068141732502
MINUTE: Average=34.48300472046575, Max=34.57975357964633, Min=34.41693515764436
MINUTE: Average=34.60099423189317, Max=34.7711989841078, Min=34.413135823402904
MINUTE: Average=34.712889430447035, Max=34.824346966917744, Min=34.56217839987083
MINUTE: Average=34.71531856737224, Max=34.903966805139405, Min=34.56635416795625
MINUTE: Average=34.3756044403642, Max=34.573909717396155, Min=34.164249459720196
MINUTE: Average=34.058138735679215, Max=34.250134030718634, Min=33.900622128807484
MINUTE: Average=34.06829206214045, Max=34.287542617843265, Min=33.930722934749426
MINUTE: Average=34.0434982126187, Max=34.190278267143015, Min=33.93297578628853
MINUTE: Average=34.25968182711806, Max=34.42053285801036, Min=33.93965486336054
MINUTE: Average=34.41227177862788, Max=34.545128237154735, Min=34.258621314702715
MINUTE: Average=34.36206453117947, Max=34.49789721357988, Min=34.278965260491304
MINUTE: Average=34.35200638173626, Max=34.501880928918666, Min=34.23462258433113
MINUTE: Average=34.37578297791197, Max=34.4981352273541, Min=34.24430160284047
MINUTE: Average=34.362117157631886, Max=34.51994999763195, Min=34.18574008214276
MINUTE: Average=34.51544105063887, Max=34.64172229581001, Min=34.29757148301947
MINUTE: Average=34.40792939113619, Max=34.52488895742412, Min=34.24075936184259
MINUTE: Average=34.16499642197735, Max=34.38908216850473, Min=33.97603209430022
MINUTE: Average=33.99708987847551, Max=34.14671608404324, Min=33.879570139914826
MINUTE: Average=33.76626077075676, Max=34.03427380612145, Min=33.59352927098498
MINUTE: Average=33.925116484499846, Max=34.08711920715986, Min=33.73565369205367
MINUTE: Average=34.0936713421217, Max=34.28257823038993, Min=33.90559042118992
MINUTE: Average=34.29225210064202, Max=34.42064300191977, Min=34.124482355641916
MINUTE: Average=34.538396018741956, Max=34.656317554661626, Min=34.31194690199113
MINUTE: Average=34.63134505035607, Max=34.873373753375304, Min=34.37400626460549
MINUTE: Average=34.83130407433894, Max=34.96126597564699, Min=34.676467527523364
MINUTE: Average=35.023394600548656, Max=35.17633132745118, Min=34.87735915824979
MINUTE: Average=35.15459213443723, Max=35.38172765479332, Min=34.967935300642054
MINUTE: Average=34.975799939117124, Max=35.0858990112576, Min=34.83807408350845
MINUTE: Average=34.809680805028165, Max=35.08645480378763, Min=34.46995935277886
MINUTE: Average=34.52629345973292, Max=34.677523073948436, Min=34.29728556011572
MINUTE: Average=34.25597304129037, Max=34.408681653932554, Min=34.1377282272017
MINUTE: Average=34.069843170815425, Max=34.34150620606145, Min=33.899760987095334
MINUTE: Average=33.80607624158639, Max=34.097707166973855, Min=33.454543540046565
MINUTE: Average=33.558011632350784, Max=33.683936383186726, Min=33.46689592567666
MINUTE: Average=33.7426688591999, Max=34.01602808037394, Min=33.5198332807135
MINUTE: Average=34.20318177389755, Max=34.329717238498375, Min=34.00987262305633
MINUTE: Average=34.040190315031495, Max=34.24138732043096, Min=33.916476662134365
MINUTE: Average=34.087359700324676, Max=34.182795595974525, Min=33.99134885724763
MINUTE: Average=33.76632568033968, Max=34.02963213401706, Min=33.598354719114774
MINUTE: Average=33.695485902009786, Max=33.821477743445485, Min=33.43152703331386
MINUTE: Average=33.34761459162208, Max=33.46241985015824, Min=33.19993030974807
MINUTE: Average=33.11870230904189, Max=33.35589390034807, Min=33.01139308049204
MINUTE: Average=33.25405251437394, Max=33.3836022606016, Min=33.15305577425671
MINUTE: Average=33.39029305858423, Max=33.57965016020572, Min=33.16792353882329
MINUTE: Average=33.63148402523428, Max=33.750085318678344, Min=33.50477241672208
MINUTE: Average=33.978381588344824, Max=34.22073931302179, Min=33.6592234957678
MINUTE: Average=34.22176269352495, Max=34.48875633116805, Min=34.0471448010766
MINUTE: Average=34.591446081240036, Max=34.78319171460319, Min=34.36464514184191
MINUTE: Average=34.739077420567995, Max=34.97464796280499, Min=34.61528952872363
MINUTE: Average=34.81960361587484, Max=35.01654424059295, Min=34.670000059976445
MINUTE: Average=34.83666962137671, Max=35.011743737905235, Min=34.65825244994362
MINUTE: Average=34.88114671971942, Max=35.057269383755724, Min=34.48816529046133
MINUTE: Average=34.35341601619019, Max=34.50893357123999, Min=34.16707011710056
MINUTE: Average=34.13476774385667, Max=34.21442098398445, Min=34.047570809253735
MINUTE: Average=34.19589339207244, Max=34.313060578489946, Min=34.08942939084237
MINUTE: Average=34.2270416046428, Max=34.441332250252295, Min=34.06826887527898
MINUTE: Average=34.30196387899501, Max=34.43701189764046, Min=34.153063840658966
MINUTE: Average=34.281973959840684, Max=34.47123644575539, Min=34.17148728553671
MINUTE: Average=34.30536606661614, Max=34.50178526499811, Min=34.120228989967856
MINUTE: Average=34.39526418743602, Max=34.57403257955296, Min=34.21921794089967
MINUTE: Average=34.692521162030495, Max=34.75833471619407, Min=34.53215492330724
MINUTE: Average=34.75429859791136, Max=34.93228021272307, Min=34.60952349072137
MINUTE: Average=35.096892140686805, Max=35.215387198323086, Min=34.92717985628612
MINUTE: Average=35.408423151022454, Max=35.68110127907552, Min=35.11720126251594
MINUTE: Average=35.716885462381775, Max=35.873768239411184, Min=35.58224616871296
MINUTE: Average=36.11449148788174, Max=36.31708500783468, Min=35.855278588200726
MINUTE: Average=36.38592778092426, Max=36.62846662345284, Min=36.26655136771514
MINUTE: Average=36.61175117549434, Max=36.74655056317912, Min=36.45093307922196
MINUTE: Average=36.67522814524519, Max=36.76101776676578, Min=36.57142301845255
MINUTE: Average=36.65656417104057, Max=36.842909380982405, Min=36.472124599712075
MINUTE: Average=37.13703233937901, Max=37.35165024714015, Min=36.829012530271996
MINUTE: Average=37.127627945739825, Max=37.32222942553705, Min=36.90810341117781
MINUTE: Average=36.55822203313288, Max=36.890699544784496, Min=36.37530158151775
MINUTE: Average=36.34595138113318, Max=36.5651077742862, Min=36.19956963703478
MINUTE: Average=35.990899231964576, Max=36.23780448506205, Min=35.835798793568166
MINUTE: Average=36.054767034946835, Max=36.14809894887148, Min=35.96096317052592
