
MINUTE: Average=856.8175205861392, Max=857.002423856661, Min=856.6446463602871
MINUTE: Average=856.5994889986301, Max=856.8169498087419, Min=856.4453895884369
MINUTE: Average=856.6729404659801, Max=856.8080349367026, Min=856.5828220121514
MINUTE: Average=856.5040725518385, Max=856.6356474774584, Min=856.2922208966608
MINUTE: Average=856.4863197681321, Max=856.6307463806762, Min=856.3149526769562
MINUTE: Average=856.3761820615601, Max=856.6522237505075, Min=856.203422127438
MINUTE: Average=856.3337924656513, Max=856.4749015040088, Min=856.2125004174445
MINUTE: Average=856.0994528127795, Max=856.4316938077865, Min=855.9039960610676
MINUTE: Average=855.9626165661105, Max=856.0678936580639, Min=855.8726838404059
MINUTE: Average=855.8525872945489, Max=855.9863464065485, Min=855.7166971303261
MINUTE: Average=855.7901921896208, Max=855.917604706666, Min=855.6676231610535
MINUTE: Average=855.8560067720877, Max=856.0361755949126, Min=855.6780056379185
MINUTE: Average=856.1165649463176, Max=856.2410615059055, Min=855.9127262331438
MINUTE: Average=856.3625449599577, Max=856.5200728207352, Min=856.1553423552766
MINUTE: Average=855.9769472549889, Max=856.1740140534439, Min=855.8011086427985
MINUTE: Average=856.1236728105488, Max=856.2576238726675, Min=855.9555565539233
MINUTE: Average=856.1347710730068, Max=856.3063780572737, Min=855.989990568623
MINUTE: Average=856.3017630142315, Max=856.401162074992, Min=856.1828663801061
MINUTE: Average=855.9983911411169, Max=856.265188009761, Min=855.620496647888
MINUTE: Average=855.6353488427153, Max=855.7178628969145, Min=855.5541514591612
MINUTE: Average=855.4200861783252, Max=855.6479164224661, Min=855.3035616776727
MINUTE: Average=855.562043926346, Max=855.7023532842569, Min=855.4098369076062
MINUTE: Average=855.5400035689207, Max=855.6945116786909, Min=855.4209927359016
MINUTE: Average=855.4058298716392, Max=855.6081295237182, Min=855.2856448109486
MINUTE: Average=855.4394135846902, Max=855.5985705976315, Min=855.232682132758
MINUTE: Average=855.5507186922148, Max=855.632556584023, Min=855.4681416449553
MINUTE: Average=855.4709963681473, Max=855.6501830178836, Min=855.344682685195
MINUTE: Average=855.5575167099577, Max=855.6621947955048, Min=855.3990828936422
MINUTE: Average=855.5798844091473, Max=855.6997110758194, Min=855.3733417940464
MINUTE: Average=855.5465539587364, Max=855.7561887251621, Min=855.367153940495
MINUTE: Average=855.4195414099545, Max=855.594482002385, Min=855.2760310841668
MINUTE: Average=855.5337752192796, Max=855.6542672617409, Min=855.4123133625747
MINUTE: Average=855.4954176588114, Max=855.5923290630723, Min=855.3386822656155
MINUTE: Average=855.4130578616608, Max=855.6028094473133, Min=855.2766660716387
MINUTE: Average=855.400841087186, Max=855.6210461559704, Min=855.1768717641696
MINUTE: Average=855.2252610455323, Max=855.3638475793242, Min=855.0755096463392
MINUTE: Average=854.9968780467065, Max=855.0702539743114, Min=854.9070176312337
MINUTE: Average=854.9238638749787, Max=855.0766164376262, Min=854.7634769368642
MINUTE: Average=854.5651863446728, Max=854.8306118371486, Min=854.3004750384041
MINUTE: Average=854.2570656720914, Max=854.4327877640246, Min=854.1331303969205
MINUTE: Average=854.2182801317819, Max=854.2942877704805, Min=854.133390024061
MINUTE: Average=853.9042341457205, Max=854.223328398932, Min=853.7449404619605
MINUTE: Average=853.843242890726, Max=853.9597011276052, Min=853.5617875228548
MINUTE: Average=853.5970148094751, Max=853.8233051294148, Min=853.4776689021065
MINUTE: Average=853.4954940754837, Max=853.7256612215151, Min=853.2640450939667
MINUTE: Average=853.5780535534847, Max=853.7542617611349, Min=853.4025742810638
