
MINUTE: Average=532.0671786825495, Max=532.2112804475835, Min=531.9397658985828
MINUTE: Average=531.9900943385034, Max=532.0899349611142, Min=531.8974128530192
MINUTE: Average=532.1464123242126, Max=532.2635212917893, Min=531.9959568838134
MINUTE: Average=532.3093905913022, Max=532.7143035147909, Min=532.1224486751033
MINUTE: Average=532.5192410095618, Max=532.7619091844726, Min=532.3970667040583
MINUTE: Average=532.393656650016, Max=532.5055835872915, Min=532.2959175744705
MINUTE: Average=532.6342447672631, Max=532.914397008452, Min=532.324206816983
MINUTE: Average=533.0277418013783, Max=533.1922033988087, Min=532.7146148266693
MINUTE: Average=533.0006922799789, Max=533.1894602798242, Min=532.8122133727295
MINUTE: Average=532.7935129134765, Max=532.9341328685241, Min=532.6361621060043
MINUTE: Average=533.0856548198282, Max=533.4003895460711, Min=532.830606329736
MINUTE: Average=533.5108592271475, Max=533.7245697768925, Min=533.2879402975426
MINUTE: Average=533.6990110309788, Max=533.7953243598716, Min=533.5908098258708
MINUTE: Average=533.3722868894657, Max=533.7530877444498, Min=532.9423152260744
MINUTE: Average=533.0596910415221, Max=533.1693261818297, Min=532.9265424342564
MINUTE: Average=533.1848139581983, Max=533.3624015202782, Min=533.0133199067193
MINUTE: Average=533.1329909455764, Max=533.3039938322105, Min=532.8020309346285
MINUTE: Average=532.7734756485546, Max=532.8685095500172, Min=532.6681650096413
MINUTE: Average=532.7404850194724, Max=532.8852674767643, Min=532.5821966942061
MINUTE: Average=532.8466950734637, Max=532.9746907885275, Min=532.711212985823
MINUTE: Average=532.7824183022487, Max=532.9315482495026, Min=532.6594469578466
MINUTE: Average=532.6221871916073, Max=532.7429482288388, Min=532.4666369229209
MINUTE: Average=532.241716398178, Max=532.5114754338821, Min=532.1291556180968
MINUTE: Average=531.9808886487646, Max=532.1090463352436, Min=531.88446343974
MINUTE: Average=531.9490666097512, Max=532.092109265993, Min=531.8214034587694
MINUTE: Average=532.1352746480319, Max=532.2808430793589, Min=532.0572353687227
MINUTE: Average=532.1820850155073, Max=532.270959102853, Min=532.0650337697786
MINUTE: Average=532.1621611805441, Max=532.3445052815217, Min=532.0190670670854
MINUTE: Average=532.1052743193608, Max=532.2780652882838, Min=531.9124545982509
MINUTE: Average=532.0316991522537, Max=532.2326985405836, Min=531.9086334369158
MINUTE: Average=532.0496905445841, Max=532.2179533614865, Min=531.9629523992343
MINUTE: Average=532.0631407459891, Max=532.1478191911109, Min=531.9708818193158
MINUTE: Average=532.0443155887477, Max=532.1785755940273, Min=531.951537046003
MINUTE: Average=532.2225368772546, Max=532.5984375448174, Min=531.9820031210653
MINUTE: Average=532.311312122332, Max=532.5591839706362, Min=532.1030365215249
MINUTE: Average=532.332253553476, Max=532.5053562531347, Min=532.1417699855111
MINUTE: Average=532.5213478607575, Max=532.6549113534403, Min=532.3806858902365
MINUTE: Average=532.7575423851742, Max=532.8844556981197, Min=532.6303426812698
MINUTE: Average=532.8947657615001, Max=533.0764472427771, Min=532.7679616182918
MINUTE: Average=532.9060458054123, Max=533.0854984345469, Min=532.7675650712068
MINUTE: Average=532.8685766439341, Max=532.9787253491709, Min=532.7111102835507
MINUTE: Average=532.7380950712321, Max=532.9684251316463, Min=532.4509430048639
MINUTE: Average=532.3859969665102, Max=532.5386798214512, Min=532.2767342197375
MINUTE: Average=532.5268694122723, Max=532.7201350904771, Min=532.3133844503469
MINUTE: Average=532.6912789176262, Max=532.8368098374838, Min=532.4711126568661
MINUTE: Average=532.6044138454457, Max=532.8566840123432, Min=532.3977220783813
MINUTE: Average=532.361469169219, Max=532.4652717087672, Min=532.2382724888182
MINUTE: Average=532.1248321265841, Max=532.3084909621028, Min=531.9795943024125
MINUTE: Average=531.9693065738094, Max=532.1233840497366, Min=531.8567533176949
MINUTE: Average=531.9015138652582, Max=532.1248950349462, Min=531.6698568841189
MINUTE: Average=531.8698223834459, Max=531.9755389819769, Min=531.7655164189351
MINUTE: Average=531.6374152482205, Max=531.8922222073581, Min=531.3722117806232
MINUTE: Average=531.6473621950124, Max=531.869753015109, Min=531.4645850447343
MINUTE: Average=531.9089252952497, Max=532.0907667226608, Min=531.7425181290569
MINUTE: Average=532.163385019245, Max=532.3988917435423, Min=531.9307348168608
MINUTE: Average=532.3809785423169, Max=532.4837179965988, Min=532.2038770621989
