
MINUTE: Average=244.2249497796159, Max=244.33268814336225, Min=244.07108583046477
MINUTE: Average=244.2712599142278, Max=244.43907217706504, Min=244.10685866687984
MINUTE: Average=244.10928050154686, Max=244.3161687435809, Min=243.8629034644539
MINUTE: Average=243.62019191663683, Max=243.864611714567, Min=243.4882664815014
MINUTE: Average=243.70448131474004, Max=243.85952808969267, Min=243.53957522730428
MINUTE: Average=243.71763452980838, Max=243.899335066449, Min=243.6219191868485
MINUTE: Average=243.5109802208312, Max=243.7002381394166, Min=243.41413744140493
MINUTE: Average=243.484198104306, Max=243.6269282955596, Min=243.38048152574336
MINUTE: Average=243.35954165669722, Max=243.50849476226594, Min=243.2401204300888
MINUTE: Average=243.442236878978, Max=243.69571588908855, Min=243.32704492212827
MINUTE: Average=243.91216331999752, Max=244.0843160553796, Min=243.64843998712192
MINUTE: Average=244.17317214797114, Max=244.3517179030493, Min=244.02560646901358
MINUTE: Average=244.17757064621554, Max=244.31383135011518, Min=244.05457771889235
MINUTE: Average=244.1511485449508, Max=244.23548938772794, Min=244.06744709799688
MINUTE: Average=244.32969974458288, Max=244.46428728718888, Min=244.05202945157563
MINUTE: Average=244.36221918816557, Max=244.70471702614702, Min=244.10972258413096
MINUTE: Average=245.0112984366363, Max=245.17466972216803, Min=244.67004635770405
MINUTE: Average=244.7889966037479, Max=245.03179683322904, Min=244.6630934196897
MINUTE: Average=244.65225296485124, Max=244.7554784216189, Min=244.50697377080127
MINUTE: Average=244.78082980152618, Max=244.96484190912727, Min=244.65426995608573
MINUTE: Average=244.970069794712, Max=245.05060631053226, Min=244.8881553262223
MINUTE: Average=244.93053736480104, Max=245.12073686037715, Min=244.75223971205705
MINUTE: Average=245.12465041972064, Max=245.21411099668103, Min=245.02774964217406
MINUTE: Average=245.02644020353216, Max=245.19820909244038, Min=244.8201155643346
MINUTE: Average=244.7395813217782, Max=244.89868865780056, Min=244.58413622331815
MINUTE: Average=244.9104071349357, Max=245.08115065832533, Min=244.73520558153837
MINUTE: Average=244.972570876031, Max=245.09622417458684, Min=244.84471331328223
MINUTE: Average=244.94600151504, Max=245.06131459769819, Min=244.82937218579312
MINUTE: Average=244.7180176551206, Max=244.83875605266326, Min=244.54938870644855
MINUTE: Average=244.82537082243113, Max=245.00509880653559, Min=244.63197899358914
MINUTE: Average=244.87379121395904, Max=245.0269760935938, Min=244.73963073695884
MINUTE: Average=244.85080915213848, Max=244.94620042201856, Min=244.72239401754837
MINUTE: Average=244.6996644990553, Max=244.88819790606374, Min=244.50860634406268
MINUTE: Average=244.58547774324245, Max=244.69462915705864, Min=244.4951210158111
MINUTE: Average=244.51255567172078, Max=244.66002504361757, Min=244.36036231602324
MINUTE: Average=244.6749323651508, Max=244.86288717036376, Min=244.55841080660628
MINUTE: Average=244.62767348666114, Max=244.83453282583804, Min=244.51419960270874
MINUTE: Average=244.33675430657942, Max=244.5443664264002, Min=244.07972861609068
MINUTE: Average=244.04194662405254, Max=244.1402307607059, Min=243.91663588745666
MINUTE: Average=243.86686293349348, Max=243.97525570051312, Min=243.7685042204119
MINUTE: Average=243.83650401141324, Max=243.9751560455176, Min=243.65417272311558
MINUTE: Average=243.85661740127952, Max=243.9799227493949, Min=243.73824020947038
MINUTE: Average=243.86112467887042, Max=244.06599178250036, Min=243.70861359158383
MINUTE: Average=243.7176548686969, Max=243.8473894900716, Min=243.59162634110993
MINUTE: Average=243.62553488427568, Max=243.9026770043056, Min=243.36323544901703
MINUTE: Average=243.28513953238846, Max=243.45366438269508, Min=243.13245976975034
MINUTE: Average=243.33409353805138, Max=243.48003822380858, Min=243.15875424086158
MINUTE: Average=243.47965870246122, Max=243.67090663694853, Min=243.20871335451466
MINUTE: Average=243.24420511130745, Max=243.40780867701417, Min=242.99758823511522
MINUTE: Average=242.97487209010472, Max=243.11334348316328, Min=242.68563944901584
MINUTE: Average=242.80056240335855, Max=242.96131141338435, Min=242.6224264887163
MINUTE: Average=242.89418656333893, Max=243.1788301930878, Min=242.6867429432676
MINUTE: Average=243.16420681468264, Max=243.26883410384312, Min=243.0563532013524
MINUTE: Average=243.16707813625413, Max=243.29319193328112, Min=243.0422558698102
MINUTE: Average=243.21514478309777, Max=243.40095706024223, Min=243.07142883820603
MINUTE: Average=243.2061604930304, Max=243.28480150119933, Min=243.12715270677302
MINUTE: Average=243.29297879435157, Max=243.5508744614169, Min=243.1182269450158
MINUTE: Average=243.55207393736816, Max=243.73781561893972, Min=243.33456268272028
MINUTE: Average=243.79553826217986, Max=243.86008816896867, Min=243.67593160055148
MINUTE: Average=243.83929647433013, Max=243.98239332044267, Min=243.72193342559987
MINUTE: Average=243.79858967911423, Max=243.95757385990555, Min=243.6388913980802
MINUTE: Average=243.7163533373701, Max=243.8862190115398, Min=243.50901067255683
MINUTE: Average=244.01257377542197, Max=244.18245270668953, Min=243.83082738282587
MINUTE: Average=244.04453808828723, Max=244.2029782165812, Min=243.85113940153727
MINUTE: Average=244.08007611440917, Max=244.2157842364268, Min=243.919114197105
MINUTE: Average=243.65270020846694, Max=243.94973978073224, Min=243.46315396375735
MINUTE: Average=243.73900030587708, Max=243.9770321103018, Min=243.60302280261195
MINUTE: Average=243.8365882456889, Max=243.96744754193443, Min=243.6877901389961
MINUTE: Average=243.8475173264249, Max=244.0499623689916, Min=243.66075248394506
MINUTE: Average=244.1165630885476, Max=244.26898558392114, Min=243.9706860804093
MINUTE: Average=244.05567716987733, Max=244.1853417696057, Min=243.94835958233693
MINUTE: Average=243.84222411079963, Max=244.1278967675596, Min=243.64821799345827
MINUTE: Average=243.7103576211346, Max=243.8509422938303, Min=243.6141708657245
MINUTE: Average=243.72066770835826, Max=243.86747688702945, Min=243.54753779223327
MINUTE: Average=243.59605561244607, Max=243.71152015944224, Min=243.51058474426605
MINUTE: Average=243.69606001528646, Max=243.87221935875692, Min=243.56407773630752
MINUTE: Average=243.55699873086365, Max=243.67511931377643, Min=243.44110047705072
MINUTE: Average=243.4194885099224, Max=243.53325920786423, Min=243.30592980427667
MINUTE: Average=243.45514051990781, Max=243.62445527183073, Min=243.2856680928533
MINUTE: Average=243.39790199537944, Max=243.56302940528073, Min=243.24504127301384
MINUTE: Average=243.56673758587382, Max=243.85129562137158, Min=243.3702134136555
MINUTE: Average=243.8153341932257, Max=244.0466529038082, Min=243.58503882371917
MINUTE: Average=244.07491966599645, Max=244.24241376262725, Min=243.9447130006353
MINUTE: Average=244.22150566878932, Max=244.34333377726966, Min=244.09459317686182
MINUTE: Average=244.21169188927828, Max=244.36083266261863, Min=243.99615727093553
MINUTE: Average=244.21160835470127, Max=244.38291305626902, Min=244.0651918424109
MINUTE: Average=244.2077989185027, Max=244.28475922549288, Min=244.08085953010823
MINUTE: Average=244.03660658948291, Max=244.13523335562886, Min=243.8963210406391
MINUTE: Average=244.0966520298368, Max=244.2589101974445, Min=243.90881919165926
MINUTE: Average=243.81150912662798, Max=244.02667867494839, Min=243.60962810050805
MINUTE: Average=243.93062189665383, Max=244.0526003144368, Min=243.75648270592293
MINUTE: Average=243.91258410105814, Max=244.0395176369392, Min=243.67905150523544
MINUTE: Average=243.6481182898472, Max=243.8022122927463, Min=243.46330368964735
MINUTE: Average=243.5853049338796, Max=243.72867521814985, Min=243.4147053150573
MINUTE: Average=243.84801500324974, Max=243.93000930828816, Min=243.72127300584592
MINUTE: Average=243.67020219420758, Max=243.776830358096, Min=243.55336439030015
MINUTE: Average=243.659807159095, Max=243.84441982401697, Min=243.47866049128405
MINUTE: Average=243.80029545147733, Max=243.9297685650323, Min=243.68394973157407
MINUTE: Average=243.71246735517192, Max=243.8853854116731, Min=243.47134941410692
MINUTE: Average=243.53382810641125, Max=243.71403009720675, Min=243.3511696343162
MINUTE: Average=243.19493744079458, Max=243.34772059712063, Min=243.03840510430825
MINUTE: Average=243.08508704997334, Max=243.24182615071203, Min=242.86726855337065
MINUTE: Average=243.005224517263, Max=243.10214354625185, Min=242.9213902191759
MINUTE: Average=242.83900183860015, Max=243.0479050822902, Min=242.71273986560038
MINUTE: Average=242.87448060918334, Max=242.98747050935455, Min=242.76260306197076
MINUTE: Average=242.8666990172765, Max=243.01021922596638, Min=242.74711921561297
MINUTE: Average=242.850693697912, Max=243.0305006024231, Min=242.7534074482204
MINUTE: Average=242.62733318036098, Max=242.87852265080295, Min=242.41800624571653
MINUTE: Average=242.78587667583784, Max=242.93153992459955, Min=242.70826040028027
MINUTE: Average=242.64694463193572, Max=242.84249958428478, Min=242.50759833162346
MINUTE: Average=242.56815131473078, Max=242.7961966044211, Min=242.32713755178244
MINUTE: Average=242.10480088340003, Max=242.37814381489875, Min=241.861518593534
MINUTE: Average=242.0030227708317, Max=242.12016098842, Min=241.85145093481367
MINUTE: Average=241.7964837625985, Max=241.9391006538736, Min=241.63210373491242
MINUTE: Average=241.592435380369, Max=241.7669012154167, Min=241.47775293751045
MINUTE: Average=241.45634051100117, Max=241.73916781917814, Min=241.16676267990522
MINUTE: Average=241.2005143078942, Max=241.33661348077914, Min=241.11766594766684
MINUTE: Average=241.181814708881, Max=241.37433765665565, Min=240.96505974921982
MINUTE: Average=241.37915677553738, Max=241.72468208922584, Min=241.07305900271658
MINUTE: Average=241.679594113848, Max=241.79730429232458, Min=241.5281013370296
MINUTE: Average=241.70998786846945, Max=241.84256275240784, Min=241.47972195738123
MINUTE: Average=241.68013785703258, Max=241.88408587695224, Min=241.5645999932521
MINUTE: Average=241.6126049128784, Max=241.73673114663526, Min=241.47802463307758
MINUTE: Average=241.63315234369026, Max=241.75223773659494, Min=241.477918099732
MINUTE: Average=241.80685553829275, Max=242.01028005945102, Min=241.57435046812074
MINUTE: Average=241.8397693774229, Max=242.0026417967248, Min=241.63865563467152
MINUTE: Average=242.04829299142185, Max=242.28583984885427, Min=241.83212877242275
MINUTE: Average=242.19344206954884, Max=242.36610853646087, Min=242.02778134040432
MINUTE: Average=242.30375207823937, Max=242.42836307112893, Min=242.15203397527787
MINUTE: Average=242.45811529717352, Max=242.62668181742157, Min=242.29411706277617
MINUTE: Average=242.46451320464274, Max=242.6002309563433, Min=242.28179145931495
MINUTE: Average=242.33683181798514, Max=242.45336249721035, Min=242.24593589497132
MINUTE: Average=242.37071214009555, Max=242.45927012932907, Min=242.27730196014448
MINUTE: Average=242.51718538733223, Max=242.72962882273706, Min=242.29356077362846
MINUTE: Average=242.69067414338505, Max=242.97212192952404, Min=242.53733403201855
