
MINUTE: Average=84.36285224083888, Max=84.57790933304558, Min=84.22737187451591
MINUTE: Average=84.72269090587062, Max=84.90048406641877, Min=84.48446142729739
MINUTE: Average=84.78221981718072, Max=84.99207169028155, Min=84.66071999051158
MINUTE: Average=84.94336861595812, Max=85.06929189810074, Min=84.83035134857774
MINUTE: Average=84.95559256031943, Max=85.04537303658287, Min=84.86206674593849
MINUTE: Average=84.92537512622033, Max=85.09776772689814, Min=84.76183879289336
MINUTE: Average=84.9025030784455, Max=85.06240036098345, Min=84.7016010205271
MINUTE: Average=84.76364945763294, Max=84.97054702289272, Min=84.56303485374052
MINUTE: Average=84.46278723986467, Max=84.6254064018865, Min=84.3644802181264
MINUTE: Average=84.49277109498864, Max=84.64591543916703, Min=84.33612773512084
MINUTE: Average=84.23476252605722, Max=84.43876445255913, Min=84.02047317234792
MINUTE: Average=84.31392186856748, Max=84.50087677646246, Min=84.1878015805542
MINUTE: Average=84.34309405590382, Max=84.47437655868478, Min=84.20597738442518
MINUTE: Average=84.60054110254632, Max=84.75773126927903, Min=84.36759795633593
MINUTE: Average=84.37349959788571, Max=84.57203826611563, Min=84.15980281091129
MINUTE: Average=84.44171394812182, Max=84.65568746242202, Min=84.16490301167777
MINUTE: Average=84.51977327044004, Max=84.66620653275656, Min=84.3769083753674
MINUTE: Average=84.43811667918342, Max=84.52101057169055, Min=84.34220030496323
MINUTE: Average=84.5879935433393, Max=84.75525956752827, Min=84.34689477870809
MINUTE: Average=84.86574313117283, Max=85.01397103625176, Min=84.64986505990288
MINUTE: Average=84.86068205404898, Max=84.99803192944796, Min=84.72534623173974
MINUTE: Average=84.7173752567949, Max=84.96377254320552, Min=84.54627959178661
MINUTE: Average=84.72692490922965, Max=84.89238090355734, Min=84.5259344516134
MINUTE: Average=84.49691292556129, Max=84.61502277296727, Min=84.34441686252036
MINUTE: Average=84.66250491923407, Max=84.81388234985496, Min=84.47444470057788
MINUTE: Average=84.66473118014505, Max=84.75703705848368, Min=84.56477491443712
MINUTE: Average=84.59014777202147, Max=84.7833565568599, Min=84.29744709983426
MINUTE: Average=84.44506666880207, Max=84.70208360957939, Min=84.17201670393911
MINUTE: Average=84.59165243214811, Max=84.76994369267885, Min=84.39190829807059
MINUTE: Average=84.40034791474925, Max=84.53188685425819, Min=84.24663591197306
MINUTE: Average=84.27951417367142, Max=84.3667333954548, Min=84.18558294971923
MINUTE: Average=84.29423111435952, Max=84.40707245148094, Min=84.13402251048404
MINUTE: Average=84.49452066762828, Max=84.69399183166696, Min=84.13152394264905
